Brazil	nut	1.1
Brazil	triple	0.6
CD	aglow	1.8
Harvard	Yale	5.9
Harvard	Cambridge	8.1
Israel	east	2.1
Israel	Israeli	8.1
Japanese	American	4.0
Jerusalem	Israel	8.2
Jerusalem	wall	0.3
Mexico	Brazil	4.4
Mexico	Puebla	6.0
OPEC	Saudi	5.0
Palestinian	Arab	4.1
Wednesday	news	2.6
Wednesday	weekday	6.3
Yale	Haven	1.5
ability	know-how	7.45
abuse	persecution	5.7
accepted	acknowledged	7.4
accepted	believe	4.7
accepted	welcome	4.5
accommodate	adjust	4.55
accommodation	settlement	5.3
acronym	form	3.6
activity	inaction	6.0
admission	confession	2.3
admission	matriculation	5.6
advance	headway	5.28
advance	propose	2.4
advance	recovery	0.4
advance	string	0.5
advised	inform	7.1
advised	murder	1.0
affect	tense	2.2
aged	develop	2.2
aged	old	8.1
aged	worn	2.9
aged	young	6.0
aim	cause	5.2
aim	hold	1.8
aim	thing	2.2
airport	airfield	6.75
alcohol	chemistry	3.6
alcohol	sterol	2.85
aluminum	component	2.4
aluminum	metal	8.1
ambush	surprise	4.7
animal	herbivore	5.45
announcement	effort	1.0
announcement	news	7.0
announcement	production	0.8
announcement	statement	3.6
announcement	warning	5.4
answering	counter	4.65
answering	react	4.1
antecedent	cause	5.3
anxiety	worry	7.6
approach	access	3.02
approach	converge	5.6
arch	curve	6.5
architecture	building	7.2
architecture	century	1.7
architecture	urban	1.4
arch	shoulder	1.8
area	space	7.3
arrangement	flower	1.9
arrival	hotel	1.9
artifact	weight	0.0
ash	bone	2.6
assignment	document	4.9
assimilation	americanization	3.3
association	realtor	2.4
astronomer	astrophysicist	7.15
asylum	bedlam	2.8
asylum	madhouse	5.75
asylum	shelter	5.7
atmosphere	landscape	4.94
atmosphere	stp	3.0
attempt	activity	4.0
attempt	crime	1.35
attempted	initiate	5.95
attempt	give	2.5
attempt	initiate	4.9
attempt	peace	1.3
attended	minister	2.75
attitude	guard	2.5
attitude	respect	3.9
automobile	window	0.5
avenue	approach	5.6
avenue	street	7.49
baby	mother	1.4
baby	treat	1.8
back	lumbar	1.6
back	out	2.8
back	second	2.4
back	side	0.5
bank	money	2.5
bank	riverbank	3.5
base	air	3.45
baseball	equipment	2.1
base	build	4.2
base	structure	5.0
basketball	tip-off	1.0
bat	fruit	1.55
bats	bat	8.25
bats	placental	3.6
bat	turn	0.5
beam	shore	2.3
beam	signal	6.0
bed	closet	3.05
bed	plant	0.7
bed	platform	2.2
bed	plot	2.5
benchmark	index	2.7
benchmark	point	5.0
bent	double	1.6
bent	inclination	6.4
bias	experimenter	3.45
bias	line	0.4
bigger	large	8.25
bird	meat	4.4
bishop	rabbi	4.75
bishop	wine	0.9
bitter	ale	5.0
bitter	resentful	7.35
bitter	taste	7.2
block	area	3.3
block	close	3.8
blowing	exhale	5.65
blow	insufflate	2.45
blow	swat	0.7
board	deal	4.45
board	directorate	6.4
book	open	1.9
book	paper	4.9
book	phrase	3.5
book	picture	3.15
booster	advertiser	2.3
booster	advocate	1.6
bootleg	covering	1.4
bootleg	produce	2.5
bootleg	whiskey	1.6
bore	cut	0.7
bore	flow	1.6
bore	stuff	0.9
bound	boundary	5.7
bound	line	1.6
bound	skirt	1.8
bound	vault	2.1
bow	knot	2.3
bowling	ball	1.4
bowling	wheel	1.4
bow	yield	2.5
boxing	hit	4.3
boxing	round	1.4
boy	angstrom	1.6
boy	bat	0.55
branching	bifurcation	3.0
branching	grow	3.2
bread	butter	5.65
bread	cover	0.7
bread	money	2.35
bring	change	2.9
bring	return	5.5
bronze	nickel	7.2
bronze	sculpture	5.5
brother	freemason	2.5
brother	monk	1.1
buck	bill	4.2
buck	horse	1.3
buffer	zone	4.1
bug	defect	7.0
bug	insect	7.9
burning	change	1.5
burning	important	0.0
burnt	treated	1.0
bury	hide	6.7
bury	lay	3.75
cabbage	steal	5.0
cake	dish	5.9
cake	tablet	1.9
calculation	interpolation	4.25
camp	gathering	3.9
camping	pitch	1.2
capital	assets	5.5
capital	primary	3.7
capital	seed	0.4
car	automobile	8.8
card	playing	4.6
card	ration	3.2
card	see	2.6
car	limousine	2.8
carnivore	predator	8.1
carrier	traveler	4.3
carrier	vehicle	3.9
cash	credit	6.1
cast	gathering	3.25
cast	give	3.1
cast	shoot	2.1
catching	catch	6.3
catching	discovery	0.7
catching	perceive	1.5
catching	playing	3.5
category	kind	5.05
cat	feline	7.1
cat	man	2.0
cell	compartment	5.0
cell	membrane	5.7
cemetery	site	4.67
center	central	3.4
center	fiscal	1.0
center	refer	0.3
center	think	1.7
center	tract	4.0
century	integer	2.0
century	nation	1.3
century	year	6.3
challenge	litigate	4.4
challenge	situation	4.4
championship	contest	6.5
championship	tournament	8.1
chance	credibility	2.8
chance	fortune	3.3
chance	ring	1.15
change	attitude	3.3
change	relation	2.7
channels	transmission	5.65
channels	transmission	4.55
charcoal	fuel	7.0
checked	examine	6.2
chemistry	substance	2.65
children	offspring	6.2
cholera	infectious	6.5
chord	arpeggio	6.25
chord	play	3.7
circulation	dissemination	3.75
citation	act	1.2
citation	award	3.55
citizen	national	4.6
clean	dry	4.2
clean	jerk	3.2
clean	remove	6.85
clear	area	1.5
clear	innocence	4.6
clear	make	2.8
clinic	session	2.2
closed	state	2.1
closed	up	2.5
closet	clothes	3.9
closet	storage	3.8
closet	toilet	1.8
closing	finale	4.6
closing	motion	0.6
closing	open	4.3
closing	snap	2.3
coast	forest	3.4
coast	glide	5.05
coast	hill	2.95
coast	shore	7.45
coast	slope	2.3
cock	penis	6.0
coffee	arab	0.6
cognition	populace	1.7
collect	due	4.4
collection	archives	5.9
collection	data	6.2
collect	prayer	1.05
collect	scrape	1.8
collect	take	5.0
colored	black	4.1
colored	black	3.8
colored	grey	7.0
colors	emblem	2.6
colors	ensign	2.6
colors	pigment	6.4
combination	scheme	1.6
commit	vow	3.4
communication	abstraction	2.1
communications	discipline	1.9
communications	transmission	5.9
compact	case	1.9
compact	pack	2.8
compact	packed	4.9
compact	short	3.4
compact	write	1.5
company	stock	1.6
competition	price	3.2
competition	relation	2.0
compound	enhance	0.6
compound	recombine	5.02
compound	whole	4.01
computation	conversion	3.8
computation	procedure	3.4
computer	internet	7.38
computer	keyboard	5.6
computer	number	2.9
computer	platform	4.9
computer	software	7.4
concert	plan	1.1
concert	rock	4.3
concert	virtuoso	3.85
conclusion	assumption	5.25
conclusion	judgment	6.7
constellation	natural	2.6
constellation	topology	1.3
content	collection	5.3
content	disapproval	1.6
content	limit	3.3
convinced	disarm	2.35
cool	air-conditioned	7.75
cool	coldness	4.2
cool	state	2.2
counter	act	2.8
counter	answer	2.2
counter	equipment	2.7
counter	negative	2.7
country	ally	3.3
country	citizen	4.0
course	stream	2.3
course	workshop	2.8
covering	blanket	3.0
covering	bootleg	1.4
covering	cloak	3.4
covering	submerge	2.65
crabs	crab	10.0
crack	check	2.1
cracking	crack	8.4
cracking	noise	5.9
cracking	sound	4.7
credit	card	5.3
credit	information	1.5
credit	money	8.3
credit	ovation	3.9
crew	man	3.4
crisis	emergency	7.5
criterion	condition	6.5
criterion	measurement	3.15
cross	marking	2.55
cross	meet	6.6
cucumber	gherkin	6.8
cucumber	melon	6.5
culture	counterculture	5.1
culture	grow	1.1
culture	subculture	7.2
cup	artifact	1.9
cup	coffee	2.88
cup	drink	1.1
cup	entity	1.5
cup	food	3.9
cup	liquid	2.8
cup	object	1.8
cup	shape	4.3
cup	substance	0.5
cup	tableware	2.3
curb	bit	2.1
curb	smother	3.55
curb	train	2.2
currency	exchange	5.1
currency	market	5.95
currency	prevalence	1.25
cutting	nip	5.0
damned	lost	3.15
damned	people	1.8
damned	raise	1.4
dawn	begin	3.8
dawn	hour	3.1
day	morrow	1.2
deaf	people	1.3
death	inmate	2.3
death	organic	2.3
death	row	1.6
deceased	born	5.9
deceased	dead	8.0
decoration	service	1.1
decoration	set	2.5
decoration	valor	2.35
defeat	disappointment	4.45
defeated	people	2.0
defeated	upset	4.15
defeat	ending	4.5
defeat	overrun	8.7
defeat	veto	3.5
defense	biological	0.9
defense	protection	8.5
delay	catch	1.8
delay	hesitate	5.5
delay	moratorium	2.0
delay	news	3.1
delay	racism	0.0
deliver	serve	3.2
demand	call	3.8
demand	claim	5.9
demand	request	6.1
demand	supply	5.8
demonic	evil	7.6
departure	variation	1.1
deployment	departure	3.5
deployment	redeployment	7.1
deposit	geological	2.6
depression	state	4.6
derived	reap	4.4
develop	mental	0.85
development	deepening	3.6
development	elaboration	4.1
direction	combination	2.15
direction	qibla	2.6
disability	anorgasmia	3.9
disability	death	1.8
disabled	people	1.8
disabled	unfit	5.1
disaster	adversity	5.3
disaster	wave	2.35
discipline	science	3.44
discipline	system	2.35
discovery	breakthrough	7.95
discovery	disclosure	3.1
discovery	space	2.1
display	light	3.1
display	model	4.6
display	stick	2.3
ditch	abandon	6.3
ditch	drain	4.2
ditch	waterway	4.8
dividend	calculation	2.9
dividend	numerator	4.2
diving	meet	3.45
diving	one-half	0.3
diving	submerge	5.0
doctor	nurse	6.35
doctor	personnel	3.3
doctor	primary	1.3
doctor	theologian	5.7
dollar	bill	2.2
dollar	buck	0.5
dollar	dominican	1.0
dollar	loss	0.75
dollar	profit	4.6
dot	cover	2.15
dot	disk	2.4
dot	seashore	1.0
double	hit	3.85
double	hit	0.6
double	multiple	5.65
double	multiple	4.9
draw	entertainer	2.6
draw	gully	2.3
drawing	drag	3.95
drawing	draw	5.95
drawing	frame	0.6
draw	twitch	1.9
dress	formal	2.1
dress	morning	0.0
dress	neckline	4.7
dress	wear	7.8
drink	car	2.4
drink	ear	1.5
drink	eat	5.3
drink	mother	1.0
drink	mouth	3.6
drink	murder	1.2
drink	turn	1.3
drive	impulse	4.0
drive	mechanism	3.6
drive	operate	2.0
drive	ride	4.4
drop	descend	4.2
drop	measure	1.4
drop	sink	4.3
drop	teardrop	2.7
drought	time	1.5
drug	abuse	5.3
drug	anesthetic	7.65
dwelling	exist	4.6
earning	murder	0.1
eat	bread	5.75
ecology	environment	7.6
effects	backdate	1.2
effects	happen	3.2
effects	repercussion	6.1
effort	liberation	2.05
egg	white	1.4
eliminate	out	4.4
emergency	temp	0.5
emphasized	stress	8.4
endeavor	worst	3.4
energy	crisis	0.9
energy	force	3.5
energy	heat	4.1
energy	laboratory	1.9
energy	secretary	1.0
entity	abstraction	2.0
environment	habitat	6.25
equal	differ	5.0
equal	inadequate	3.7
equality	sameness	7.05
equality	tie	2.3
equal	person	0.6
equipment	maker	2.4
equipment	rescue	0.7
establishment	collectivization	2.7
establishment	institution	7.6
even	change	1.2
even	change	0.3
evidence	identification	4.95
evidence	information	6.85
evidence	notarize	5.15
example	specimen	6.9
exhibit	evidence	4.45
exhibit	memorabilia	1.1
